run_name,script_version,date_time,fit_time,python_version,machine_learning_framework,framework_version,batch_size,learning_rate,lr_scheduler,lr_warmup,optimizer,epochs,nestrov,model_name,dataset_name,random_seed,op_determinism,test_loss,test_accuracy
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306013546992221,1183,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,1297055094,True,1.4412688,0.6622
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306015626699157,1147,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,3388865413,True,1.4875016,0.6571
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306021633836014,1226,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,3441103961,True,1.4610965,0.657
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306023758525815,1128,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,220129177,True,1.4716395,0.6642
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306025745504679,1315,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,636800229,True,1.4669156,0.6592
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306032104699636,1706,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,3340778380,True,1.4580709,0.6674
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306035045137298,1406,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,328826589,True,1.4225192,0.6626
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306041535617100,1203,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,2351080987,True,1.4555125,0.6636
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306043638992885,1208,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,2940668278,True,1.4951041,0.6582
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306045745769381,1194,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,1629467658,True,1.4767896,0.6616
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306083915392333,1207,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,1374552628,True,1.4653432,0.6669
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306090023329743,1231,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,2989496591,True,1.4717706,0.6634
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306092156069814,1210,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,1304254337,True,1.4643656,0.6601
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306094306316599,1225,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,1160869783,True,1.456527,0.6585
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306100431619393,1206,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,1031290362,True,1.4693332,0.6623
